,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
4118,Kepler-281 b,Kepler-281,1,0.1166,0.0,0.0,6.442278007648987,3.680066120711494,-2.5587170503652934,3,0.0,0.0,0.0,88.81,0.0,0.0,,,,01+1-23+3-
4120,HD 191939 b,HD 191939,1,0.0804,0.0025,-0.0023,10.2,0.8,-0.8,6,0.0155,0.01,-0.011,88.14,0.175,-0.155,,,,0
4124,TOI-942 b,TOI-942,1,0.04866,0.0007,-0.00065,421.179,0.0,0.0,2,0.285,0.1165,-0.11950000000000001,89.966,0.34,-0.51,2.0,27.0,-23.0,02+2-
4125,TOI-942 c,TOI-942,1,0.08598,0.0012,-0.0011,415.7875,0.0,0.0,2,0.175,0.1845,-0.1315,89.2,0.6,-0.42,,,,02+2-
4138,Kepler-1990 b,Kepler-1990,1,0.0284,0.0,0.0,16.21698531838185,8.978351711549365,-6.19956960051654,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
4148,Kepler-633 b,Kepler-633,1,0.0824,0.0,0.0,5.924116894559317,4.859649960463516,-3.5547537370651474,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
4150,HD 38529 c,HD 38529,1,3.716,0.14550000000000002,-0.152,4195.2,123.95,-123.95,2,0.3506,0.0069,-0.0069,104.559,6.393,-8.722,,,,0
4154,HD 74156 b,HD 74156,1,0.29164500000000004,0.004,-0.004,565.394,15.89,-15.89,2,0.636,0.0085,-0.007549999999999999,86.981,7.8004999999999995,-36.0625,,,,03
4155,HD 115404 A b,HD 115404 A,1,0.088,0.003,-0.004,30.82936,6.35657,-6.99222,2,0.232,0.197,-0.138,25.791,1.842,-2.157,,,,03
4159,HD 156098 b,HD 156098,1,0.167,0.008,-0.009,15.89142,3.49611,-1.27131,2,0.109,0.101,-0.048,23.462,22.352,0.0,,,,03
4160,HD 12235 b,HD 12235,1,0.054,0.002,-0.002,10.48834,1.27131,-1.58914,2,0.376,0.11,-0.254,47.738,12.651,-11.804,,,,03
4161,HD 153557 b,HD 153557,1,0.068,0.003,-0.003,20.34102,1.90697,-2.2248,3,0.065,0.053,-0.037,14.324,0.964,-0.935,,,,03
4164,HD 155918 b,HD 155918,1,0.03,0.001,-0.001,7.62788,0.95349,-1.27131,2,0.194,0.197,-0.129,31.771,2.806,-2.131,,,,03
4170,HD 168443 b,HD 168443,1,0.2954,0.008,-0.012,2475.6789900000003,139.20700499999998,-143.49769,2,0.5297499999999999,0.001065,-0.001015,91.218,22.283,-16.088,,,,03
4172,HD 183263 c,HD 183263,1,5.6375,0.169,-0.1805,2529.91412,174.8,-174.8,2,0.0595,0.01,-0.01,73.718,63.943,-32.077,,,,0
4173,HD 217786 c,HD 217786,1,0.038,0.002,-0.002,7.31005,0.63566,-0.63566,2,0.399,0.169,-0.218,47.4835,1.8505,-1.443,,,,03
4176,HD 11506 d,HD 11506,1,12.235,1.571,-1.762,2346.52713,640.42424,-344.84382,3,0.061,0.028,-0.022,82.004,25.098,-21.421,,,,0
4180,HD 43197 b,HD 43197,1,0.901,0.022500000000000003,-0.0295,183.224555,27.33354,-13.982880000000002,2,0.786,0.0335,-0.013999999999999999,11.42,5.388,-3.07,,,,03
4183,GJ 676 A e,GJ 676 A,1,0.184,0.006500000000000001,-0.006500000000000001,8.1,0.7,-0.7,4,0.152,0.119,-0.087,33.69,1.362,-1.324,,,,03
4185,HD 219828 b,HD 219828,1,0.0495,0.002,-0.002,19.8,2.3837200000000003,-2.3837200000000003,2,0.059,0.036,-0.036,122.816,11.012,-69.974,,,,03
4186,HD 203387 b,HD 203387,1,1.771,0.056,-0.062,1106.04286,187.20093,-168.76688,2,0.732,0.049,-0.049,158.462,6.927,-9.058,,,,03
4187,HD 30177 c,HD 30177,1,10.074,0.7875000000000001,-0.76,2185.07635,700.4962800000001,-546.826245,2,0.1295,0.07250000000000001,-0.07650000000000001,98.016,16.025,-24.235,,,,0
4191,HD 81817 c,HD 81817,1,2.325,0.087,-0.095,7185.78245,590.84301,-596.24609,2,0.095,0.058,-0.044,95.594,29.637,-35.307,,,,03
4196,HD 183263 b,HD 183263,1,1.508,0.041499999999999995,-0.044,1172.74,80.887505,-82.63130000000001,2,0.3728,0.009,-0.009,73.718,63.943,-32.077,,,,03
4199,HD 93351 b,HD 93351,1,0.035,0.001,-0.002,3.49611,0.63566,-0.95349,2,0.549,0.141,-0.286,14.636,1.039,-1.177,,,,03
4201,HD 81817 b,HD 81817,1,3.2664999999999997,0.1125,-0.1155,8140.8784,1882.6582400000002,-443.531215,2,0.1335,0.08,-0.0635,95.594,29.637,-35.307,,,,0
4202,HD 43197 c,HD 43197,1,8.54,2.334,-1.584,2500.67391,559.378,-508.20762,2,0.149,0.112,-0.087,11.42,5.388,-3.07,,,,0
4203,HD 217786 b,HD 217786,1,2.38,0.04,-0.04,4402.55909,402.68859,-416.67304,2,0.3158,0.0082,-0.008,47.4835,1.8505,-1.443,,,,0
