,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
946,HD 28109 b,HD 28109,1,0.1357,0.0034,-0.0034,18.496,9.12,-7.609,3,0.3307,0.0,0.0,87.725,0.023,-0.012,,,,01+1-
947,HD 28109 c,HD 28109,1,0.308,0.011,-0.011,7.943,4.227,-3.046,3,0.1203,0.0,0.0,89.543,0.093,-0.086,,,,01+1-
950,TOI-5126 c,TOI-5126,1,0.1439,0.0019,-0.0018,13.486639500150126,4.26570854017303,-3.496953543608205,2,0.0,0.0,0.0,89.23,0.32,-0.25,,,,01+1-2
969,HD 113337 c,HD 113337,1,6.805,0.536,-0.468,6299.67686,772.32303,-818.40815,2,0.164,0.057,-0.056,57.478,4.552,-3.652,,,,0
976,HD 74698 b,HD 74698,1,0.121,0.001,-0.001,23.0,3.0,-3.0,2,0.1,0.1,-0.1,90.0,0.0,0.0,,,,03
977,HD 169830 b,HD 169830,1,0.8115,0.02065,-0.022199999999999998,924.8651,38.1396,-38.1396,2,0.308,0.012,-0.012,91.2345,8.8695,-8.1025,,,,03
982,HD 114783 c,HD 114783,1,4.984999999999999,0.11,-0.10500000000000001,209.44892,17.79848,-16.84499,2,0.05,0.058,-0.058,159.0,4.0,-6.0,,,,0
984,HIP 29442 b,HIP 29442,1,0.107,0.0016,-0.0016,9.6,0.8,-0.8,3,0.20543615100312596,0.0,0.0,89.3,0.4,-0.3,,,,01
985,HIP 38594 c,HIP 38594,1,3.805,0.172,-0.172,48.4,7.4,-7.4,2,0.16,0.1,-0.1,90.0,0.0,0.0,,,,03
986,TOI-4600 c,TOI-4600,1,1.152,0.068,-0.068,2946.26933,0.0,0.0,2,0.21,0.29,-0.14,89.9,0.03,-0.02,,,,02+2-
990,K2-138 b,K2-138,1,0.0338,0.00024,-0.00029,3.1,1.05,-1.05,6,0.2255,0.054,-0.033,87.2,1.52,-1.54,,,,0
999,HD 152843 c,HD 152843,1,,,,27.5,0.0,0.0,2,0.115,0.173,-0.08,88.89,0.18,-0.15,,,,02+2-
