hostname,pl_name,default_flag,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2
Kepler-304,Kepler-304 c,1,2014-05-14,4,0.054,,,2.17,0.15,-0.15,,,,,,,,,,,,
Kepler-360,Kepler-360 b,1,2014-05-14,2,0.044,,,1.65,0.78,-0.78,,,,,,,,,,,,
Kepler-101,Kepler-101 c,0,2014-05-14,2,0.068,,,1.33,0.34,-0.34,,,,,,,,,,,,
Kepler-243,Kepler-243 c,1,2014-05-14,2,0.142,,,1.99,0.97,-0.97,,,,,,,,,,,,
Kepler-261,Kepler-261 c,1,2014-05-14,2,0.156,,,2.0,0.14,-0.14,,,,,,,,,,,,
Kepler-327,Kepler-327 d,1,2014-05-14,3,0.09,,,1.73,0.1,-0.1,,,,,,,,,,,,
Kepler-136,Kepler-136 b,1,2014-05-14,2,0.106,,,2.05,0.38,-0.38,,,,,,,,,,,,
Kepler-122,Kepler-122 d,1,2014-05-14,5,0.155,,,2.2,0.44,-0.44,,,,,,,,,,,,
Kepler-157,Kepler-157 c,1,2014-05-14,3,0.11,,,2.24,0.43,-0.43,,,,,,,,,,,,
Kepler-147,Kepler-147 c,1,2014-05-14,2,0.216,,,2.43,0.49,-0.49,,,,,,,,,,,,
Kepler-239,Kepler-239 b,1,2014-05-14,2,0.095,,,2.33,0.15,-0.15,,,,,,,,,,,,
Kepler-200,Kepler-200 b,1,2014-05-14,2,0.08,,,2.13,0.41,-0.41,,,,,,,,,,,,
Kepler-243,Kepler-243 b,1,2014-05-14,2,0.062,,,2.45,1.16,-1.16,,,,,,,,,,,,
Kepler-160,Kepler-160 c,0,2020-07-02,3,0.109,,,3.61,1.77,-1.77,,,,,,,,,,,,
Kepler-254,Kepler-254 b,1,2014-05-14,3,0.064,,,3.87,1.85,-1.85,,,,,,,,,,,,
Kepler-172,Kepler-172 c,1,2014-05-14,4,0.068,,,2.86,0.53,-0.53,,,,,,,,,,,,
Kepler-299,Kepler-299 c,1,2014-05-14,4,0.07,,,2.65,0.63,-0.63,,,,,,,,,,,,
Kepler-278,Kepler-278 c,1,2014-05-14,2,0.294,,,3.59,0.43,-0.43,,,,,,,,,,,,
Kepler-339,Kepler-339 d,1,2014-05-14,3,0.091,,,1.17,0.53,-0.53,,,,,,,,,,,,
Kepler-397,Kepler-397 b,1,2014-05-14,2,0.144,,,2.46,21.32,-21.32,,,,,,,,,,,,
Kepler-399,Kepler-399 b,1,2014-05-14,3,0.103,,,0.96,0.51,-0.51,,,,,,,,,,,,
HD 207832,HD 207832 b,0,2018-09-25,2,0.57,0.002,-0.002,,,,177.9848,19.0698,-9.5349,0.13,0.18,-0.05,,,,,,
HD 207832,HD 207832 c,1,2015-09-08,2,2.112,0.087,-0.045,,,,232.0159,57.2094,-15.8915,0.27,0.22,-0.1,,,,,,
nu Oph,nu Oph b,0,2019-09-20,2,1.9,,,,,,7627.92,,,0.1256,0.0065,-0.0065,,,,,,
75 Cet,75 Cet b,0,2015-09-02,2,2.1,,,,,,953.49,,,0.117,0.048,-0.048,,,,,,
HD 4732,HD 4732 b,0,2014-05-14,2,1.19,0.05,-0.05,,,,753.23,108.06,-108.06,0.13,0.06,-0.06,,,,,,
HD 99492,HD 99492 b,0,2018-04-25,2,0.1232,0.0071,-0.0071,,,,34.6,4.1,-4.1,0.254,0.092,-0.092,,,,,,
TOI-2525,TOI-2525 b,0,2023-12-04,2,,,,9.727,7.509,-7.509,,,,,,,,,,,,
K2-133,K2-133 c,0,2019-05-20,4,0.045,0.003,-0.003,1.48,0.09,-0.09,,,,,,,88.65,0.08,-0.16,,,
TOI-2096,TOI-2096 c,0,2023-12-04,2,,,,2.041,0.185,-0.185,,,,,,,,,,,,
K2-133,K2-133 e,1,2019-05-20,4,0.1346,0.0011,-0.0011,1.73,0.14,-0.13,,,,,,,89.164,0.012,-0.01,,,
K2-133,K2-133 d,1,2019-05-20,4,0.07487,0.00059,-0.0006,2.003,0.107,-0.107,,,,,,,89.4,0.1,-0.08,,,
HD 213885,HD 213885 b,0,2023-12-04,2,,,,1.72,0.092,-0.092,,,,,,,,,,,,
HD 159868,HD 159868 b,0,2018-12-03,2,2.25,0.03,-0.03,,,,667.41,34.96,-34.96,0.01,0.03,-0.03,,,,,,
7 CMa,7 CMa b,0,2019-10-18,2,1.9,0.1,-0.1,,,,826.3,190.7,-190.7,0.14,0.06,-0.06,,,,,,
K2-148,K2-148 b,1,2018-02-01,3,0.0454,0.0014,-0.0014,1.33,0.19,-0.18,,,,,,,,,,,,
K2-133,K2-133 d,0,2024-01-22,4,,,,2.468,0.314,-0.314,,,,,,,,,,,,
HD 23472,HD 23472 d,0,2023-12-04,5,,,,0.758,0.066,-0.066,,,,,,,,,,,,
TOI-2096,TOI-2096 b,1,2023-03-28,2,0.025,0.001,-0.001,1.243,0.077,-0.072,,,,0.15,0.27,-0.12,89.24,0.49,-0.49,,,
HD 23472,HD 23472 e,0,2023-12-04,5,,,,0.97,0.073,-0.073,,,,,,,,,,,,
HD 23472,HD 23472 b,0,2023-12-04,5,,,,1.87,0.127,-0.127,,,,,,,,,,,,
GJ 143,GJ 143 b,0,2023-11-06,2,,,,3.122,0.292,-0.292,,,,,,,,,,,,
HD 213885,HD 213885 c,1,2019-12-02,2,0.056798,0.00044,-0.00032,,,,19.95,1.38,-1.36,0.0,,,,,,,,
