hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
55 Cnc,55 Cnc c,2021-02-05,5,0.239,0.0013,-0.0013,54.029830000000004,2.320335,-2.288335,0.0615,0.031,-0.03,89.86500000000001,24.49,-24.54,0.0,34.634090142517096,-34.704800820635754,05+-,0.0,34.634090142517096,-34.704800820635754
HD 213885,HD 213885 b,2019-12-02,2,0.02012,0.00015,-0.00012,8.83,0.66,-0.65,0.0,0.0,0.0,80.09,0.62,-0.5,0.0,0.8768124086713189,-0.7071067811865476,01+1-5+-,0.0,0.8768124086713189,-0.7071067811865476
TOI-1062,TOI-1062 c,2021-08-03,2,0.08,0.013,-0.012,9.78,1.26,-1.18,0.14,0.073,-0.069,85.913,0.062,-0.041,0.0,0.08768124086713189,-0.0579827560572969,03+-5+-,0.0,0.08768124086713189,-0.0579827560572969
TOI-1062,TOI-1062 b,2021-08-03,2,0.052,0.024,-0.025,10.15,0.81,-0.84,0.177,0.067,-0.064,85.913,0.062,-0.041,0.0,0.08768124086713189,-0.0579827560572969,05+-,0.0,0.08768124086713189,-0.0579827560572969
TOI-431,TOI-431 b,2021-08-16,3,0.01145517828185906,0.0002,-0.0003,3.07,0.35,-0.35,0.0,0.0,0.0,84.3,1.1,-1.3,5.400000000000006,1.118033988749895,-1.3152946437965907,01+1-5+-,5.400000000000006,1.118033988749895,-1.3152946437965907
TOI-431,TOI-431 c,2021-08-16,3,0.052,0.001,-0.001,2.83,0.41,-0.34,0.0,0.0,0.0,86.35,0.04,-0.09,3.3500000000000085,0.20396078054371142,-0.2193171219946131,01+1-5+-,3.3500000000000085,0.20396078054371142,-0.2193171219946131
TOI-431,TOI-431 d,2021-08-16,3,0.09763109876469651,0.002,-0.002,9.9,1.53,-1.49,0.0,0.0,0.0,89.7,0.2,-0.2,0.0,0.28284271247461906,-0.28284271247461906,01+1-5+-,0.0,0.28284271247461906,-0.28284271247461906
K2-199,K2-199 b,2022-03-28,2,0.0382,0.00035,-0.00035,6.9,1.8,-1.8,0.02,0.03,-0.02,87.991,1.3425,-2.392,0.902000000000001,1.5561732712008647,-2.6993823367578,05+-,0.902000000000001,1.5561732712008647,-2.6993823367578
WASP-84,WASP-84 b,2023-07-10,2,0.0772494446205042,0.00145,-0.00145,220.2825,13.031030000000001,-12.7132,0.0,0.0,0.0,88.368,0.05,-0.05,17.3,7.7,-7.7,01+1-,0.0,0.07071067811865477,-0.07071067811865477
HD 39091,HD 39091 b,2023-06-12,3,3.2863378619351566,0.039,-0.039,3595.44206,378.85146,-439.87452,0.64005,0.00275,-0.00275,51.2,13.3,-9.3,0.0,18.809040379562166,-13.152186130069785,05+-,0.0,18.809040379562166,-13.152186130069785
55 Cnc,55 Cnc f,2021-02-05,5,0.775,0.005,-0.005,46.87969,3.814,-2.98759,0.142,0.075,-0.066,89.86500000000001,24.49,-24.54,0.0,34.634090142517096,-34.704800820635754,05+-,0.0,34.634090142517096,-34.704800820635754
LHS 1140,LHS 1140 b,2024-03-04,2,0.0936,0.00215,-0.00215,6.515000000000001,0.675,-0.665,0.078,0.0,0.0,89.89,0.05,-0.04,0.0,0.07071067811865477,-0.0565685424949238,01+1-5+-,0.0,0.07071067811865477,-0.0565685424949238
LHS 1140,LHS 1140 c,2024-03-04,2,0.026875,0.00054,-0.00054,1.81,0.17,-0.16,0.274,0.0,0.0,89.9165,0.06,-0.09,-0.026499999999998636,0.07810249675906655,-0.09848857801796104,01+1-5+-,-0.026499999999998636,0.07810249675906655,-0.09848857801796104
